Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
PENVEM01,Zr,12,[Zr]1234O[Zr@]5(O[C]O2)O[Zr]2(O[C]=O)(O[C]O[Zr](O[C]O1)O[C]O5)O[Zr]1(O[C]=O)(O3)(O[C]=O)O[Zr](O[C]=O)(O4)(O[C]=O)(O2)O1.[O][C]=O.[O][C]=O.[O][C]=O,[C]1=CC=C(C#CC#CC2=CC=[C]C=C2)C=C1,12,2,[Zr].O1[Zr]O[Zr@]23O[Zr]4O[Zr]1O[Zr@](O4)(O2)O3,[O]C(=O)c1ccc(C#CC#Cc2ccc(cc2)C(=O)[O])cc1,1,0.4886,6950.22,18640.9,10.40253,18.75933,18.75933
ECITES,Pb,6,[Pb](I)I.[I].[Pb](I)I.[Pb](I)I.[I].[I].[Cu].I[Cu],n1cccc2c1c1ncccc1cc2,8,2,[Pb](I)I.[I].[Pb](I)I.[Pb](I)I.[I].[I].[Cu].I[Cu],n1cccc2c1c1ncccc1cc2,1,0.232,527.452,698.01,6.87301,8.61272,8.61272
UQEFED,Ca,10,[C]O[Ca][O].[Ca](O[C]=O)O[C]=O.[O].[C]=O,[C]1=CC=C(S(=O)(=O)C2=CC=[C]C=C2)C=C1,6,3,[Ca][Ca],C(=O)(c1ccc(S(=O)(=O)c2ccc(C(=O)[O])cc2)cc1)[O],0,0,0,0,3.47509,4.27789,4.27789
LUCDIW,Ce,14,[Ce]123(O[C]O[Ce](O[CH]N(C)C)(O[C]O1)(O[C]O2)(O[C]O3)O[CH]N(C)C)(O[CH]N(C)C)O[CH]N(C)C.[C](=O)[O].[C](=O)[O],[C]1=CC=C2C=[C]C=CC2=C1,14,2,[Ce]([Ce](O[CH]N(C)C)O[CH]N(C)C)(O[CH]N(C)C)O[CH]N(C)C,C(=O)(c1ccc2cc(ccc2c1)C(=O)[O])[O],1,0.063,231.486,117.363,4.57957,6.54302,6.54302
OCETEW,Ag,4,[Ag].O=N(=O)[O],n1c2c(cccc2)n(n1)CCn1nnc2c1cccc2,2,2,[Ag].O=N(=O)[O],n1c2c(cccc2)n(n1)CCn1nnc2c1cccc2,0,0,0,0,0.76435,2.95911,2.93944
ERUVEU,Cd,6,[Cd],N(CC1=NN=N[N]1)CC1=NN=N[N]1,6,6,[Cd],N(CC1=NN=N[N]1)CC1=NN=N[N]1,0,0,0,0,2.83612,3.3447,3.3447
UBUBIF,Ag,4,[Ag],N#Cc1ccncc1,4,2,[Ag],N#Cc1ccncc1,1,0.0086,159.341,11.3671,3.77822,4.44423,4.44423
HIWZAP,Na,7,[Na].[BH4].[Na].[BH4],n1ccccc1,10,1,[Na].[BH4].[Na].[BH4],n1ccccc1,1,0.2268,283.47,371.522,7.7151,8.45444,8.37058
EDIMOT,Mn,6,[Mn]([O])([O])([O])([O])([O])[O],[C]1=[C]C=[C][C]=C1,6,4,[Mn],O=C1C(=O)[CH]C(=O)C(=O)[CH]1,1,0.2486,181.475,282.435,9.82331,10.47149,10.47149
YUQMOO,Ag,4,[Ag][O].Cl[O].[O].[O],S(Cc1ccc(C#N)cc1)Cc1ccc(C#N)cc1,3,3,[Ag][O].Cl[O].[O].[O],S(Cc1ccc(C#N)cc1)Cc1ccc(C#N)cc1,0,0,0,0,1.09739,2.05804,1.79217
XEBMUM,Cu,6,I[Cu][Cu]I,n1c(C)cncc1,2,2,I[Cu][Cu]I,n1c(C)cncc1,1,0.2238,169.285,215.681,7.31929,7.56334,7.56334
OKERIH,Zn,6,[Zn].O.O,n1ccc(cc1)CNCCNCc1ccncc1,4,4,[Zn].O.O,n1ccc(cc1)CNCCNCc1ccncc1,1,0.5968,453.512,2191.86,15.14593,15.77956,15.63969
ZIDROV,W,10,[W]123(O[W]45(O[Fe]O[W]6(O[Ge@@]78O[W]9%10%11(O[Fe]%12%13(O[W]%14%15%16(O[Ge@@]%17%18O[W]%19%20(O[Fe]%21(O[W]%22(O[W](O7)(O%11)(O%21)([O])O[W](O%22)(O[W](O%10)([O])(O[W](O6)([O])(O9)O%13)O2)([O])O1)(O4)[O])(O%18)O[W]1(O[W]2(O%19)(O[W]4([O])(O[W]6(O[W]7(O%17)([O])(O[Fe]O[W](O[W](O%12)(O%15)([O])O4)([O])(O7)O6)O1)([O])O2)O%14)[O])(O%20)[O])(O%16)[O])[O])O8)[O])([O])(O3)O5)[O])[O],NCCN,2,2,[W]123(O[W]45(O[Fe]O[W]6(O[Ge@@]78O[W]9%10%11(O[Fe]%12%13(O[W]%14%15%16(O[Ge@@]%17%18O[W]%19%20(O[Fe]%21(O[W]%22(O[W](O7)(O%11)(O%21)([O])O[W](O%22)(O[W](O%10)([O])(O[W](O6)([O])(O9)O%13)O2)([O])O1)(O4)[O])(O%18)O[W]1(O[W]2(O%19)(O[W]4([O])(O[W]6(O[W]7(O%17)([O])(O[Fe]O[W](O[W](O%12)(O%15)([O])O4)([O])(O7)O6)O1)([O])O2)O%14)[O])(O%20)[O])(O%16)[O])[O])O8)[O])([O])(O3)O5)[O])[O],NCCN,1,0.6806,1306.1,10904.2,27.96233,29.09969,29.09969
HAYYOY,Fe,6,[Fe](Cl)[C][O].Cl[Fe][C][O].Cl[Fe][C][O],[N]1c2cc3c(cc2[N][NH2]1)[N][NH2][N]3,9,6,[Fe](Cl)[C][O].Cl[Fe][C][O].Cl[Fe][C][O],[N]1c2cc3c(cc2[N][NH2]1)[N][NH2][N]3,3,0.0804,479.24,320.201,4.64922,8.05945,8.05945
QEKXOU,Fe,6,[Fe](Cl)Cl,C(N1CCN(Cc2ncccc2)CC1)c1ncccc1,4,4,[Fe](Cl)Cl,C(N1CCN(Cc2ncccc2)CC1)c1ncccc1,1,0.2284,160.499,196.645,6.50295,7.4773,7.4773
JOJHUM,Cd,6,[Cd](O[C]=O)O[C]=O,n1cn(nn1)[CH2],4,2,[Cd],n1cn(nn1)CC(=O)[O],0,0,0,0,0.89663,1.29829,1.18382
REXFOR,Zn,4,[Zn](I)I,n1ccc(C2=[N]=C(c3ccncc3)N=C(c3ccncc3)[N]2)cc1,2,3,[Zn](I)I,n1ccc(C2=[N]=C(c3ccncc3)N=C(c3ccncc3)[N]2)cc1,1,0.3922,3692.25,6102.49,8.07586,11.0974,11.00026
IHICIO,Cu,5,I[Cu][Cu]I,S(CCCCCCCSCc1ccccc1)Cc1ccccc1,4,2,I[Cu][Cu]I,S(CCCCCCCSCc1ccccc1)Cc1ccccc1,1,0.2956,638.874,1320.76,8.92489,10.75868,10.75868
GAMSUJ,Zn,4,[Zn](Cl)Cl,N1=C[N]N([CH]1)CCn1ncnc1,2,2,[Zn](Cl)Cl,N1=C[N]N([CH]1)CCn1ncnc1,1,0.0418,207.858,47.7866,3.99789,6.01563,6.01563
COSVIS,Cu,4,[Cu](O[C]=O)O[C]=O,C1=CC=C[C]=N1,4,2,[Cu],c1nc(C(=O)[O])ccc1,0,0,0,0,2.53898,3.59376,3.59376
CILFIO,Cu,4,[C](=O)O[Cu]O[C]=O,[C]1=C(C=CC=N1)C(=O)[O],4,2,[Cu],C(=O)(c1ncccc1C(=O)[O])[O],1,0.3004,163.513,263.391,7.28875,8.60821,8.60821
LATFUI,Zn,4,[Zn]12O[C]O[Zn@@]34O[C]O[Zn](O[C]O1)O[C]O[Zn@@](O[C]O2)(O[C]O3)O4,[C]1=CC=[C]C=C1,6,2,[Zn].O([Zn])[Zn].[Zn],O=C(c1ccc(cc1)C(=O)[O])[O],1,0.4048,3770.19,6946.99,8.16343,15.04184,15.04184
WUZFAZ,Cu,6,I[Cu]1[Cu][Cu]21([Cu]([Cu]2I)I)(I)I.[Cu][Cu](I)I.I[Cu]1[Cu]([Cu]21(I)([Cu]([Cu]2)I)I)I,[N@@]12CC[N@@](CC1)CC2,8,2,I[Cu]1[Cu][Cu]21([Cu]([Cu]2I)I)(I)I.[Cu][Cu](I)I.I[Cu]1[Cu]([Cu]21(I)([Cu]([Cu]2)I)I)I,[N@@]12CC[N@@](CC1)CC2,0,0,0,0,0.78755,5.1588,5.1588
DOTSOV01,Cu,5,[Cu]1234[Cu](O[C]O1)(O[C]O2)(O[C]O3)O[C]O4,[C]1=C[C]=C[C]=C1,4,3,[Cu][Cu],[O]C(=O)c1cc(cc(c1)C(=O)[O])C(=O)[O],1,0.2596,3231.91,4701.9,6.78551,13.27404,13.27404
PSULAG01,Ag,2,[Ag],n1cccc(c1)[N]S(=O)(=O)c1ccc(N)cc1,2,2,[Ag],n1cccc(c1)[N]S(=O)(=O)c1ccc(N)cc1,1,0.502,146.948,646.259,15.26767,16.04964,16.04964
QODHUO09,Ag,4,[Ag].[Ag],n1ccc(C2=[N]=C(c3ccncc3)N=C(c3ccncc3)[N]2)cc1,6,3,[Ag].[Ag],n1ccc(C2=[N]=C(c3ccncc3)N=C(c3ccncc3)[N]2)cc1,1,0.3354,1684.07,2798.6,6.85193,9.68592,9.68592
OMEDUH,Ag,3,[Ag],S(C)c1c(C(n2nc(C)cc2C)n2nc(cc2C)C)cccc1,3,3,[Ag],S(C)c1c(C(n2nc(C)cc2C)n2nc(cc2C)C)cccc1,1,0.664,1246.41,9339.38,24.40187,26.23491,26.2195
JUKXIY,Mn,6,[Mn]O[C]O[Mn](O[C]=O)(O[C]=O)O[C]=O,N1=CC=CC(=[C]1)C1=CC=CN=[C]1,8,4,[Mn],n1cccc(c2c(C(=O)[O])nccc2)c1C(=O)[O],0,0,0,0,0.98963,1.67332,1.59242
ZOZCUP,Cu,4,[Cu]Cl.[Cu]Cl,n1c(sc(CC)n1)N,4,2,[Cu]Cl.[Cu]Cl,n1c(sc(CC)n1)N,1,0.0776,157.221,58.5547,4.34758,4.78366,4.78366
ABZCUH,Cd,9,[Cd]12(O[C]O1)O[C]O2.O,[NH]C1=CC=[C]C=C1,4,2,[Cd].O,[NH]c1ccc(C(=O)[O])cc1,0,0,0,0,2.38232,2.91214,2.91214
YITKEU,Zn,4,[Zn],N1=C(Br)N=C[CH]1,4,2,[Zn],N1=C(Br)N=C[CH]1,0,0,0,0,3.59465,10.43893,10.43893
ZINPAP,Zn,4,[Zn@]123O[C]O[Zn]4O[C]O[Zn](O[C]O2)O[C]O[Zn@](O1)(O[C]O3)O[C]O4,[C]1=[C]C=CC=C1,6,2,[Zn]O[Zn].[Zn].[Zn],[O]C(=O)c1c(cccc1)C(=O)[O],1,0.3876,1007.76,1664.99,8.99457,11.75087,11.75087
YOVVAJ,Mo,8,[Mo]1(O[Mo](O[Mo]2(O[Mo]3([O])(O[Mo](O[Mo]([O])(O[Mo]([O])([O])(O1)O2)[O])([O])(O3)[O])[O])([O])O[Ni])([O])[O])(O[Mo][O])([O])([O])[O],N1=CN/C(=C\2/NC(=NN2)C2=C[CH]NC=C2)/N1,2,1,[Mo]1(O[Mo](O[Mo]2(O[Mo]3([O])(O[Mo](O[Mo]([O])(O[Mo]([O])([O])(O1)O2)[O])([O])(O3)[O])[O])([O])O[Ni])([O])[O])(O[Mo][O])([O])([O])[O],N1=CN/C(=C\2/NC(=NN2)C2=C[CH]NC=C2)/N1,0,0,0,0,3.19206,4.46063,4.46063
KAPSIF,Ag,5,I[Cu].[Ag](I)([Ag](I)I)I.I[Cu],n1cccc2c1c1ncccc1cc2,8,2,I[Cu].[Ag](I)([Ag](I)I)I.I[Cu],n1cccc2c1c1ncccc1cc2,0,0,0,0,1.70437,4.75043,4.75043
FAZZOW,Zn,4,[Zn]OS([O])(O)[O],n1ccn(Cc2ccc(Cn3ccnc3)cc2)c1,3,2,[Zn]OS([O])(O)[O],n1ccn(Cc2ccc(Cn3ccnc3)cc2)c1,1,0.1172,1354.53,622.407,5.18203,7.333,7.333
LOQGIK,Cu,7,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4.O1[C]O[Cu]234O[C]O[Cu]12(O[C]O3)O[C]O4,[CH2][C@H](c1ccccc1)C,8,1,[Cu][Cu].[Cu].[Cu],[O]C(=O)C[C@H](c1ccccc1)C,1,0.326,396.633,1209.25,11.35462,12.62949,12.62949
VUYNIO,Cd,6,[Cd](Cl)Cl,n1cccc(c1)n1c(c2cccnc2)nnc1c1ccncc1,4,4,[Cd](Cl)Cl,n1cccc(c1)n1c(c2cccnc2)nnc1c1ccncc1,1,0.2638,376.825,547.517,7.13111,8.36122,8.36122
DATXUR,Cu,4,[Cu],N#C/C=C/[C@H]1[C@H](C=CCC1)C#N,4,2,[Cu],N#C/C=C/[C@H]1[C@H](C=CCC1)C#N,1,0.0672,492.784,154.207,3.99514,5.65893,5.61386
NUXLUN,Cu,6,[Cu]OP(O[Cu](O[P][O])OP([O])O[Cu]OP(O[Cu][O])[O])[O].O.[H].O.[H].O.[H].O.[H],[CH2][CH2],8,4,[Cu].[Cu].O.[H].O.[H],[O]P(=O)(CCP(=O)([O])[O])[O],0,0,0,0,0.60292,1.43962,1.43962
PEGBEK,Zn,4,[Zn],N1=C([N]C(=N1)CC1=[N]=C(N=N1)C)C,4,4,[Zn],N1=C([N]C(=N1)CC1=[N]=C(N=N1)C)C,0,0,0,0,3.55648,4.42379,4.42379
NIYZOM,Zn,5,[Zn@]123O[CH]O[Zn]451O[CH]O[Zn@]14O[CH]O[Zn@@]41O[CH]O[Zn@]14O[CH]O[Zn]21(O[CH]O3)O5,[C]1=CC=C(C=C1)[P@@](=O)(C1=CC=[C]C=C1)C1=CC=[C]C=C1,6,3,[Zn]1[Zn]2[Zn][Zn][Zn][Zn]1O2,[O]C([O])c1ccc(P(=O)(c2ccc(C([O])[O])cc2)c2ccc(cc2)C([O])[O])cc1,1,0.3086,2816.11,3709.96,6.10567,9.82739,9.82739
COGWOM,Cd,6,I[Cd]I,n1ccc(cc1)c1cc(cc(n1)c1ccncc1)c1cc(OC)c(OC)cc1,4,2,I[Cd]I,n1ccc(cc1)c1cc(cc(n1)c1ccncc1)c1cc(OC)c(OC)cc1,1,0.1606,1096.42,803.633,6.49081,7.85207,7.85207
HUTSOE,Ag,2,[Ag],n1ccc(Sc2ccccn2)cc1,2,2,[Ag],n1ccc(Sc2ccccn2)cc1,0,0,0,0,2.39231,4.43843,4.43843
IDUZAK,Cd,10,[Cd]123(O[C]O[Cd](O[C]O1)(O[C]O2)(O[C]=O)O[C]O3)O[C]=O,[C]1=CC=C(C2=C[C]=C[C]=C2)C=C1,6,3,[Cd][Cd],O=C([O])c1cc(c2ccc(C(=O)[O])cc2)cc(c1)C(=O)[O],1,0.2978,812.025,1111.72,9.04247,10.27221,10.27221
ZZZSDW03,Mg,10,[Mg](O[C]=O)O[C]O[Mg]O[C]=O.[C](=O)[O].[Mg]([O])O[C]=O.[C]=O.[Mg](O[C]O[Mg]O[C]=O)O[C]=O.[O].[C]O[Mg]O[C]=O.O=[C]O[Mg][O].O=[C]O[Mg]O[C].[O][Mg]O[C]=O.[Mg](O[C]=O)O[C]=O.O=[C][O].[Mg]O[C]=O.[O][C]=O.[Mg]([O])[O].[C]=O.[C]=O.O=[C].O=[C][O],[CH3],24,1,[Mg]([Mg])[Mg],C(=O)(C)[O],0,0,0,0,1.38402,2.63506,2.60442
JUZGOC,Cd,6,[Cd]([O])([O])([O])[O],n1cccc(c1)/[C]=C/[C]c1cccnc1,6,3,[Cd],n1cccc(c1)C(=O)[CH]C(=O)c1cccnc1,0,0,0,0,1.06732,2.21149,2.1482
VUGXOM,Eu,11,[Eu]1(O[C])([O])(O[C]O[Eu]([O])(O[C])([O])O[C]O1)(O[C])O[C]=O.O.O.O.O,[C]1=C[CH]N(Cc2c(C)c(c(C)c(c2C)CN2[CH]C=[C]C=C2)CN2[CH]C=[C]C=C2)C=C1,6,3,[Eu][Eu].O.[OH].[H].O.O,C(=O)(C1=C[CH]N(Cc2c(C)c(c(C)c(c2C)CN2[CH]C=C(C(=O)[O])C=C2)CN2[CH]C=C(C(=O)[O])C=C2)C=C1)[O],1,0.0576,208.055,119.498,4.89107,6.22725,6.20854
XEXLUJ,Zn,6,[Zn]123O[C]O[Zn](O[C]O1)(O[C]O2)O[C]O3,n1ccc(N2C(=O)C3=CC=[C]C4=[C]C=CC(=C34)C2=O)cc1,6,3,[Zn].[Zn],n1ccc(N2C(=O)c3ccc(C(=O)[O])c4c(C(=O)[O])ccc(C2=O)c34)cc1,2,0.1312,317.991,330.814,8.03415,9.08735,9.08735
QAFFOV,Cd,7,[Cd]1(O[C]O1)(Cl)Cl.[Cd]1O[C]O1,[C]1=CC(=CC=C1)n1cnnc1,6,3,[Cd]Cl.[Cd]Cl,[O]C(=O)c1cc(ccc1)n1cnnc1,0,0,0,0,1.12337,1.61218,1.50428
GAGRUE,In,9,[C]1O[In](O[C]=O)O1.[Cl].[Cl].[Cl],[C]1=CC=[C]S1,2,2,[In](Cl)(Cl)Cl,C(=O)(c1ccc(C(=O)[O])s1)[O],1,0.5418,368.387,900.303,11.35155,12.46991,12.46991
HAVXUZ,Ni,6,[Ni],n1ccn(c1)c1ccc(cc1)n1ccnc1,6,2,[Ni],n1ccn(c1)c1ccc(cc1)n1ccnc1,1,0.209,3181.56,2550.47,5.41305,8.97771,8.97771
CAQXEX02,Cu,4,Br[Cu],n1ccccn1,2,2,Br[Cu],n1ccccn1,0,0,0,0,0.91782,1.63496,1.63496
CUBZOR,Cu,5,Br[Cu][Cu]Br,n1c(cccc1)COc1c2cccc1Sc1cccc(c1OCc1ccccn1)Sc1cccc(c1OCc1ccccn1)Sc1cccc(c1OCc1ccccn1)S2,4,8,Br[Cu][Cu]Br,n1c(cccc1)COc1c2cccc1Sc1cccc(c1OCc1ccccn1)Sc1cccc(c1OCc1ccccn1)Sc1cccc(c1OCc1ccccn1)S2,4,0.0106,231.933,60.8522,4.62407,4.7549,4.7549
ABUBOQ,Pu,11,[Pu].[O]P([O])[O].[Pu].[O]P([O])[O].O.O.[O][P][O].[O].[O].[P]([O])[O].O.O.O.O,[C]1=CC=CC=[C]1,8,4,[Pu].O.O.O,[O]P(=O)(c1ccccc1P(=O)([O])[O])[O],1,0.256,273.506,371.828,7.5661,8.37274,8.37274
ROQRUN,Cd,5,[Cd](ON(=O)=O)ON(=O)=O.[Cd]ON(=O)=O,n1ccn(c2ccc(cc2)n2cncc2)c1,7,2,[Cd](ON(=O)=O)ON(=O)=O.[Cd]ON(=O)=O,n1ccn(c2ccc(cc2)n2cncc2)c1,0,0,0,0,1.05926,3.78834,3.78785
YOPYIL01,Zn,4,[Zn]Cl,[N]1=CN=NC=1,3,3,[Zn]Cl,[N]1=CN=NC=1,0,0,0,0,1.06203,2.39999,2.39999
NIYLEO,Ag,4,[Ag],S1Cc2c3CSCCOCCOCCSCc(c3)c(c2)CSCCOCCOCC1,4,4,[Ag],S1Cc2c3CSCCOCCOCCSCc(c3)c(c2)CSCCOCCOCC1,0,0,0,0,1.78792,4.64196,4.64196
VEYVUS,Fe,6,[Fe](Cl)Cl,n1cccnc1c1ncccn1,4,4,[Fe](Cl)Cl,n1cccnc1c1ncccn1,1,0.6302,566.183,3618.26,20.62945,22.09052,20.98916
YOPJAR,Cu,4,[Cu],n1ccc(cc1)CN1C(=O)c2c3c4c(cc2)C(=O)N(C(=O)c4ccc3C1=O)Cc1ccncc1,4,2,[Cu],n1ccc(cc1)CN1C(=O)c2c3c4c(cc2)C(=O)N(C(=O)c4ccc3C1=O)Cc1ccncc1,2,0.0236,237.501,72.3956,3.47574,6.20465,6.20465
XENTUH,Ag,3,[Ag],N1=C([N]C=C1)c1ccncc1,3,3,[Ag],N1=C([N]C=C1)c1ccncc1,1,0.0664,148.307,50.0317,4.48814,5.07181,5.07181
MUMZAX,Co,6,[Co],[N]1/C/2=C(\C3=N/C(=C(\C4=CC=C(/C(=C\5/C=CC(=N5)/C(=C\1/C=C2)/c1ccncc1)/c1ccc(Cl)cc1)[N]4)/c1ccncc1)/C=C3)/c1ccc(Cl)cc1,6,6,[Co],[N]1/C/2=C(\C3=N/C(=C(\C4=CC=C(/C(=C\5/C=CC(=N5)/C(=C\1/C=C2)/c1ccncc1)/c1ccc(Cl)cc1)[N]4)/c1ccncc1)/C=C3)/c1ccc(Cl)cc1,3,0.0088,231.188,76.7176,4.23737,5.87918,5.87918
IGADAX,Cd,6,[Cd](ON(=O)=O)ON(=O)=O,c1cccc(N(c2cccc(n2)N(c2ncccc2)c2ncccc2)c2ncccc2)n1,4,4,[Cd](ON(=O)=O)ON(=O)=O,c1cccc(N(c2cccc(n2)N(c2ncccc2)c2ncccc2)c2ncccc2)n1,1,0.0334,273.58,157.083,5.50515,5.99664,5.99664
ETUZEY,Mn,6,[Mn](O[C]=O)O[C]=O.O.O,N1=CC(=C[C]=C1)Br,4,2,[Mn].O.O,n1cc(cc(c1)Br)C(=O)[O],0,0,0,0,0.9289,1.73339,1.73339
TONTOH,Co,6,[Co],N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N,6,4,[Co],N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N,1,0.0844,1456,759.324,3.48132,8.06736,8.06736
LINGAQ,Mn,6,[Mn],n1ccn(c1)CCCCn1cncc1,6,2,[Mn],n1ccn(c1)CCCCn1cncc1,0,0,0,0,1.77532,4.80404,4.80404
NAVLIG,Cu,4,[Cu],n1ccc(cc1)/C=C/c1ccncc1,4,2,[Cu],n1ccc(cc1)/C=C/c1ccncc1,4,0.0014,37.1653,3.42437,3.44604,4.21288,4.21288
HIFPUI01,Cu,5,[Cu](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O,[C]1=[C]C=[C][C]=C1,4,4,[Cu],O=C(c1c(cc(C(=O)[O])c(C(=O)[O])c1)C(=O)[O])[O],0,0,0,0,2.64475,3.55819,3.55819
ZEMFUV,Ce,9,[Ce](O[C]=O)(O[C]O[Ce](O[C]=O)[O])O[C].O.O.O.O.O.O.O.O.O.O.O.O,[C]1=C[C]=CC(=C1F)C(=O)[O],4,2,[Ce].O.O.O.O.O.O,O=C(c1cc(cc(C(=O)[O])c1F)C(=O)[O])[O],1,0.056,190.665,75.2481,5.20382,5.67403,5.67403
CAYYEG,Mn,6,[Mn],n1ccc(cc1)/C/1=C/2\C=C/C(=C(/C3=N/C(=C(\C4=CC=C(/C(=C\5/C=CC1=N5)/c1ccncc1)[N]4)/c1ccncc1)/C=C3)\c1ccncc1)/[N]2,6,6,[Mn],n1ccc(cc1)/C/1=C/2\C=C/C(=C(/C3=N/C(=C(\C4=CC=C(/C(=C\5/C=CC1=N5)/c1ccncc1)[N]4)/c1ccncc1)/C=C3)\c1ccncc1)/[N]2,3,0.0246,552.902,220.558,5.22576,7.23257,7.23257
CEXLUP,Ba,11,[Ba](OC(=O)COc1ccc(cc1)Cl)O[C]=O.O.[Ba]([O])O[C]COc1ccc(cc1)Cl.O=[C][O].O,[CH2]Oc1ccc(cc1)Cl,6,1,[Ba][Ba].O.O,[O]C(=O)COc1ccc(cc1)Cl,0,0,0,0,1.36079,2.30046,1.97473
JOTDII,Co,6,[Co](O[C]=O)(O[C]=O)(O[C]O[Na])O[C]O[Na].O=[C][O].[O][C]=O.[O][C]=O.O=[C][O],[C]1=C[C]=CC(=C1)C1=C[C]=C[C]=C1,8,4,[Co]([Na])[Na],O=C([O])c1cc(cc(c2cc(cc(C(=O)[O])c2)C(=O)[O])c1)C(=O)[O],1,0.0934,766.547,487.308,5.72965,6.99471,6.93072
WENWES,Co,6,[Co](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O.O.O,[C]1=CC=CN([CH]1)[CH2],4,2,[Co].O.O,[O]C(=O)C1=CC=CN([CH]1)CC(=O)[O],0,0,0,0,0.74938,1.59672,1.59672
ANABAT,Hg,5,[Hg]O[C]=O.[O][C]=O.[Hg]O[C]=O.[O][C]=O.[Hg]O[C]=O.O=[C][O].[Hg](O[C]=O)O[C]=O,[C]1=[C]N=CC=C1,12,3,[Hg],O=C(c1cccnc1C(=O)[O])[O],0,0,0,0,0.95089,1.95057,1.95057
JOQDIC,Ni,5,[Ni](ON(=O)=O)ON(=O)=O,n1ccc(cc1)c1ccncc1,3,2,[Ni](ON(=O)=O)ON(=O)=O,n1ccc(cc1)c1ccncc1,1,0.1942,902.304,784.174,6.43006,7.39486,7.39486
QULPUL01,Cu,6,[Cu].F[Si](F)(F)(F)(F)F.[Cu].F[Si](F)(F)(F)(F)F,n1ccn(c1)c1ccc(cc1)n1ccnc1,8,2,[Cu].F[Si](F)(F)(F)(F)F.[Cu].F[Si](F)(F)(F)(F)F,n1ccn(c1)c1ccc(cc1)n1ccnc1,0,0,0,0,2.77606,3.7675,3.7675
NELQUR,Er,11,[Er](O[C]=O)(O[C]=O)O[C]=O.O.O.O.O,[C]1=CC=[C]C=C1,3,2,[Er].O.O.O.O,O=C(c1ccc(cc1)C(=O)[O])[O],0,0,0,0,1.09113,2.45374,2.45374
JIHROH,Zn,6,[Zn],N#C[C](C#N)C#N,6,3,[Zn],N#C[C](C#N)C#N,0,0,0,0,1.15433,1.60554,1.60554
OTIXAS01,Ag,7,I[Ag]12([Ag@]3([Ag@]4([Ag@]1(I)[Ag]1[Ag@@]2([Ag]3[Ag]41)I)I)I)I,[N@]12C[N@@]3C[N@](C1)C[N@@](C3)C2,8,4,I[Ag]12([Ag@]3([Ag@]4([Ag@]1(I)[Ag]1[Ag@@]2([Ag]3[Ag]41)I)I)I)I,[N@]12C[N@@]3C[N@](C1)C[N@@](C3)C2,0,0,0,0,0.55675,3.69426,3.69426
VIBLAW,Tb,17,[Tb@@]1(O)(O[C]O[Tb](O[C]=O)(O[C]O[Tb@](O[C]=O)(O[C]O1)O)(O)O)O[C]=O.O[Tb]1(O[C]O[Tb@](O[C]O[Tb@](O[C]O1)(O)O[C]=O)(O)O[C]=O)(O)O[C]=O,[C]1=CC(=C[C]=C1)/N=N/C1=C[C]=C[C]=C1,12,4,[Tb](O)O.O[Tb]O.[Tb]O.[Tb]O.[Tb]O.[Tb]O,[O]C(=O)c1cc(cc(c1)/N=N/c1cc(cc(c1)C(=O)[O])C(=O)[O])C(=O)[O],0,0,0,0,2.24239,9.16206,9.16206
DEFCID,Mo,9,[As]12O[Mo]345(O[Mo]678(O[Mo]9(O7)(O[Mo]7%10(O1)(O[Mo@@]1(O[Cu])O[Mo@]%11(O[Mo](O[Mo]%12%13%14(O[As]%15O[Mo]%16(O7)(O[Mo@](O[Mo@](O%11)(O[Cu])O%14)(O1)[O])(O[Mo]17(O[Mo]%11%14(O[Mo]([O])(O[Mo](O%15)(O[Mo](O3)(O8)([O])O%10)(O%16)([O])O%14)(O4)O%13)(O[Mo](O[Cu])(O%12)(O[As](O1)O7)O%11)[O])[O])[O])[O])([O])(O2)(O[Mo]1(O[As](O1)O9)([O])O6)O5)[O])[O])O[Cu])[O])[O].[Cu]Cl.Cl[Cu].Cl[Cu].[Cu].Cl[Cu].[Cu],n1ccncc1,22,2,[As]12O[Mo]345(O[Mo]678(O[Mo]9(O7)(O[Mo]7%10(O1)(O[Mo@@]1(O[Cu])O[Mo@]%11(O[Mo](O[Mo]%12%13%14(O[As]%15O[Mo]%16(O7)(O[Mo@](O[Mo@](O%11)(O[Cu])O%14)(O1)[O])(O[Mo]17(O[Mo]%11%14(O[Mo]([O])(O[Mo](O%15)(O[Mo](O3)(O8)([O])O%10)(O%16)([O])O%14)(O4)O%13)(O[Mo](O[Cu])(O%12)(O[As](O1)O7)O%11)[O])[O])[O])[O])([O])(O2)(O[Mo]1(O[As](O1)O9)([O])O6)O5)[O])[O])O[Cu])[O])[O].[Cu]Cl.Cl[Cu].Cl[Cu].[Cu].Cl[Cu].[Cu],n1ccncc1,0,0,0,0,1.03444,2.78911,2.18906
